# started on Thu Feb 29 14:30:46 2024

#           time             counts unit events
     0.072613417      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.073800704      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.073800704      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.073800704      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.073800704      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.074980971      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.074980971      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.074980971      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.074980971      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.076158431      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.076158431      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.076158431      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.076158431      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.077346205      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.077346205      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.077346205      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.077346205      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.078534444      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.078534444      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.078534444      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.078534444      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.079679095      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.079679095      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.079679095      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.079679095      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.080911807      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.080911807      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.080911807      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.080911807      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.082098384      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.082098384      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.082098384      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.082098384      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.083279366      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.083279366      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.083279366      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.083279366      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.084463618      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.084463618      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.084463618      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.084463618      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.085653341      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.085653341      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.085653341      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.085653341      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.086844173      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.086844173      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.086844173      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.086844173      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.088019589      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
