# started on Thu Feb 29 14:31:29 2024

#           time             counts unit events
     0.043010883      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.043010883      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.043010883      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.043010883      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.044165763      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.044165763      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.044165763      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.044165763      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.045327861      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.045327861      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.045327861      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.045327861      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.046484212      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.046484212      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.046484212      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.046484212      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.047611238      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.047611238      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.047611238      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.047611238      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.048770021      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.048770021      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.048770021      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.048770021      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.049941789      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.049941789      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.049941789      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.049941789      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.051114644      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.051114644      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.051114644      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.051114644      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.052270297      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.052270297      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.052270297      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.052270297      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.053437961      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.053437961      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.053437961      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.053437961      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.054613055      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.054613055      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.054613055      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.054613055      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.055750676      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.055750676      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.055750676      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.055750676      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.056915608      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.056915608      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.056915608      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.056915608      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.058073291      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.058073291      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.058073291      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.058073291      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.059242222      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.059242222      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.059242222      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.059242222      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
#           time             counts unit events
     0.060400900      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.060400900      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.060400900      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.060400900      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.061581512      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.061581512      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.061581512      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.061581512      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.062747217      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.062747217      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.062747217      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.062747217      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.063873130      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.063873130      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.063873130      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.063873130      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.065036938      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.065036938      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.065036938      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.065036938      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.066194169      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.066194169      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.066194169      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.066194169      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.067365674      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.067365674      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.067365674      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.067365674      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.068528032      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.068528032      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.068528032      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.068528032      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.069704329      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.069704329      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.069704329      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.069704329      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.070895302      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.070895302      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.070895302      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.070895302      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.072063296      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.072063296      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.072063296      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.072063296      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.073235995      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.073235995      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.073235995      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
